,train_rmse,test_rmse,train_r2,test_r2,std_rmse
Linear Regression,1.074772878306158,1.1180799458719115,0.04939752609750277,-0.032396423636018315,0.027874490537629554
Ridge,1.0747741168527203,1.1177710009786073,0.04939531177207464,-0.03183330487753679,0.027638568334327082
Lasso,1.1008485302775024,1.1030429771993886,0.0026813892382760328,-0.005157870389991892,0.016200203459425837
KNN,0.9877343001126606,1.2064452760409952,0.19705905569901386,-0.2029068510013133,0.025853035405471687
MLP,1.0302916290284867,1.171994141841588,0.1266095634218,-0.13439897739845436,0.029913936999262935
