Cluster,count,mean,std,min,25%,50%,75%,max
0,83.0,2.7349397590361444,1.0251036515039689,1.0,2.0,3.0,4.0,4.0
1,819.0,2.7264957264957266,1.102749975949237,1.0,2.0,3.0,4.0,4.0
2,318.0,2.770440251572327,1.1348260172726043,1.0,2.0,3.0,4.0,4.0
3,250.0,2.68,1.0910368672886963,1.0,2.0,3.0,4.0,4.0
