Cluster,count,mean,std,min,25%,50%,75%,max
0,182.0,2.7032967032967035,1.10242831409751,1.0,2.0,3.0,4.0,4.0
1,461.0,2.7288503253796095,1.1122893456373537,1.0,2.0,3.0,4.0,4.0
2,551.0,2.73502722323049,1.1097206647634361,1.0,2.0,3.0,4.0,4.0
3,276.0,2.7318840579710146,1.0789884493270958,1.0,2.0,3.0,4.0,4.0
