Cluster,count,mean,std,min,25%,50%,75%,max
0,140.0,2.742857142857143,1.095257458458204,1.0,2.0,3.0,4.0,4.0
1,341.0,2.7448680351906156,1.130855375188575,1.0,2.0,3.0,4.0,4.0
2,239.0,2.6610878661087867,1.1105833828354814,1.0,2.0,3.0,4.0,4.0
3,456.0,2.7478070175438596,1.081307518465079,1.0,2.0,3.0,4.0,4.0
