model,data_type,split,n_features,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_f1,test_f1,training_time,trained_model
MLP,PCA,70:30,15,0.4412050534499514,0.35827664399092973,0.43840284691228193,0.3412351378503693,0.4412050534499514,0.35827664399092973,0.41367328128885583,0.3217528349958326,0.17495989799499512,"MLPClassifier(early_stopping=True, hidden_layer_sizes=(100, 50), max_iter=500,
              random_state=42)"
Naive Bayes,PCA,60:40,15,0.4399092970521542,0.3622448979591837,0.4371788689209575,0.35439925970388153,0.4399092970521542,0.3622448979591837,0.4364283217636574,0.35569741623050616,0.0065119266510009766,GaussianNB()
Logistic Regression,PCA,60:40,15,0.42517006802721086,0.35714285714285715,0.4237262088352791,0.3231744037414407,0.42517006802721086,0.35714285714285715,0.3967844647532717,0.31940955308850855,0.007289886474609375,"LogisticRegression(max_iter=1000, random_state=42)"
Logistic L2 (C=0.1),PCA,60:40,15,0.427437641723356,0.36054421768707484,0.4258682692309208,0.3275361881509339,0.427437641723356,0.36054421768707484,0.3985667304283226,0.3214984148021625,0.007605552673339844,"LogisticRegression(C=0.1, max_iter=1000, random_state=42)"
Decision Tree,PCA,60:40,15,0.7063492063492064,0.31462585034013607,0.72009179750469,0.3123568188233797,0.7063492063492064,0.31462585034013607,0.7048416326044882,0.309609362035322,0.029922008514404297,"DecisionTreeClassifier(max_depth=10, random_state=42)"
Decision Tree (deep),PCA,60:40,15,0.9943310657596371,0.32142857142857145,0.9943687579834388,0.32157762230923576,0.9943310657596371,0.32142857142857145,0.9943253232060538,0.3211073955891568,0.03327584266662598,"DecisionTreeClassifier(max_depth=20, random_state=42)"
Random Forest,PCA,60:40,15,0.9943310657596371,0.3486394557823129,0.9944129867746714,0.3203771631834387,0.9943310657596371,0.3486394557823129,0.9943381070871279,0.3196598316659069,0.22225594520568848,"RandomForestClassifier(max_depth=10, n_jobs=-1, random_state=42)"
SVM (linear),PCA,60:40,15,0.41156462585034015,0.3741496598639456,0.2868828722683007,0.25499348675640465,0.41156462585034015,0.3741496598639456,0.3307304775397294,0.29493344294654145,0.22931265830993652,"SVC(kernel='linear', probability=True, random_state=42)"
SVM (rbf),PCA,60:40,15,0.5816326530612245,0.358843537414966,0.6235779648304567,0.3317850921966901,0.5816326530612245,0.358843537414966,0.5583441222391005,0.3161083013372361,0.2579977512359619,"SVC(probability=True, random_state=42)"
KNN (k=5),PCA,60:40,15,0.5657596371882087,0.33503401360544216,0.5851179184027705,0.33028332745738725,0.5657596371882087,0.33503401360544216,0.5571090906015479,0.3258824071908308,0.052008867263793945,KNeighborsClassifier()
MLP,PCA,60:40,15,0.5272108843537415,0.34523809523809523,0.5398034265365371,0.3246813269032733,0.5272108843537415,0.34523809523809523,0.5062485482285728,0.3130087195103612,0.18361353874206543,"MLPClassifier(early_stopping=True, hidden_layer_sizes=(100, 50), max_iter=500,
              random_state=42)"
